"Cohort","Replication","KNN","LR","MLP"
"TCGA-COAD","67","0.533333333333333","0.644748858447489","0.484931506849315"
"TCGA-COAD","68","0.5","0.498630136986301","0.37716894977169"
"TCGA-COAD","69","0.5","0.684018264840183","0.658447488584475"
"TCGA-COAD","70","0.5","0.702283105022831","0.669406392694064"
"TCGA-COAD","71","0.5","0.787214611872146","0.441095890410959"
"TCGA-COAD","72","0.493150684931507","0.695890410958904","0.585388127853882"
"TCGA-COAD","73","0.5","0.68310502283105","0.558904109589041"
"TCGA-COAD","74","0.5","0.601826484018265","0.532420091324201"
"TCGA-COAD","75","0.5","0.755251141552511","0.671232876712329"
"TCGA-COAD","76","0.493150684931507","0.463013698630137","0.500456621004566"
"TCGA-COAD","77","0.5","0.5","0.547945205479452"
"TCGA-COAD","78","0.5","0.547945205479452","0.495890410958904"
"TCGA-COAD","79","0.566666666666667","0.609132420091324","0.33972602739726"
"TCGA-COAD","80","0.5","0.620091324200913","0.392694063926941"
"TCGA-COAD","81","0.5","0.680365296803653","0.636529680365297"
"TCGA-COAD","82","0.5","0.781735159817352","0.496803652968037"
"TCGA-COAD","83","0.5","0.678538812785388","0.565296803652968"
"TCGA-COAD","84","0.5","0.532420091324201","0.538812785388128"
"TCGA-COAD","85","0.493150684931507","0.584474885844749","0.542465753424658"
"TCGA-COAD","86","0.5","0.744292237442923","0.501369863013699"
"TCGA-COAD","87","0.5","0.589041095890411","0.526027397260274"
"TCGA-COAD","88","0.5","0.640182648401827","0.663013698630137"
"TCGA-COAD","89","0.5","0.618264840182648","0.493150684931507"
"TCGA-COAD","90","0.5","0.5","0.42283105022831"
"TCGA-COAD","91","0.493150684931507","0.611872146118721","0.422831050228311"
"TCGA-COAD","92","0.5","0.522374429223744","0.615525114155251"
"TCGA-COAD","93","0.5","0.654794520547945","0.623744292237443"
"TCGA-COAD","94","0.5","0.69406392694064","0.576255707762557"
"TCGA-COAD","95","0.493150684931507","0.507762557077626","0.476712328767123"
"TCGA-COAD","96","0.5","0.657534246575343","0.505936073059361"
"TCGA-COAD","97","0.5","0.644748858447489","0.603652968036529"
"TCGA-COAD","98","0.493150684931507","0.662100456621005","0.570776255707762"
"TCGA-COAD","99","0.533333333333333","0.701369863013699","0.536986301369863"
"TCGA-COAD","100","0.5","0.636529680365297","0.610045662100457"
"TCGA-ESCA","1","0.5","0.5","0.413333333333333"
"TCGA-ESCA","2","0.5","0.5","0.36"
"TCGA-ESCA","3","0.5","0.8","0.52"
"TCGA-ESCA","4","0.5","0.693333333333333","0.506666666666667"
"TCGA-ESCA","5","0.5","0.5","0.853333333333333"
"TCGA-ESCA","6","0.5","0.88","0.56"
"TCGA-ESCA","7","0.5","0.493333333333333","0.613333333333333"
"TCGA-ESCA","8","0.5","0.6","0.586666666666667"
"TCGA-ESCA","9","0.5","0.706666666666667","0.573333333333333"
"TCGA-ESCA","10","0.5","0.5","0.573333333333333"
"TCGA-ESCA","11","0.5","0.5","0.64"
"TCGA-ESCA","12","0.5","0.373333333333333","0.453333333333333"
"TCGA-ESCA","13","0.5","0.5","0.52"
"TCGA-ESCA","14","0.5","0.5","0.733333333333333"
"TCGA-ESCA","15","0.5","0.5","0.44"
"TCGA-ESCA","16","0.5","0.8","0.733333333333333"
"TCGA-ESCA","17","0.5","0.613333333333333","0.586666666666667"
